Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,,2 - 11:17,,Anthony Vanhook,Field Goal Attempt,Travis Barnes Offensive Rebound
,,,61-52,2 - 11:16,9,Travis Barnes,Field Goal Made,
Christopher Boucher,Field Goal Attempt,EJ Hubbard Offensive Rebound,,2 - 10:54,,,,
,,,,2 - 10:54,,Anthony Vanhook,Defensive Foul,
,,,,2 - 10:54,,Demetres Abrams,Left the Game,Calvin Davis Entered the Game
EJ Hubbard,Free Throw Made,,62-52,2 - 10:54,10,,,
EJ Hubbard,Free Throw Attempt,,,2 - 10:54,,,,Cape Fear CC Defensive Rebound
,,,62-55,2 - 10:27,7,TJ Evans,Three Point Made,
,,,,2 - 10:27,,Calvin Davis,Assist,
Christopher Boucher,Field Goal Made,,64-55,2 - 10:13,9,,,
,,,,2 - 9:51,,TJ Evans,Field Goal Attempt,Travis Barnes Offensive Rebound
,,,64-57,2 - 9:47,7,Travis Barnes,Field Goal Made,
Christopher Boucher,Offensive Foul,,,2 - 9:29,,,,
Christopher Boucher,Turnover,,,2 - 9:29,,,,
EJ Hubbard,Left the Game,William Desilien Entered the Game,,2 - 9:29,,,,
,,,,2 - 9:04,,Travis Barnes,Field Goal Attempt,
Christopher Boucher,Blocked shot,,,2 - 9:03,,,,
Tyler Chandler,Defensive Rebound,,,2 - 9:01,,,,
Daryle Morgan,Field Goal Made,,66-57,2 - 8:46,9,,,
William Desilien,Assist,,,2 - 8:46,,,,
,,Christopher Boucher Defensive Rebound,,2 - 8:30,,TJ Evans,Field Goal Attempt,
Colin May,Turnover,,,2 - 8:25,,,,
,,,,2 - 8:23,,Anthony Vanhook,Steal,
Christopher Boucher,Defensive Foul,,,2 - 8:22,,,,
,,,66-58,2 - 8:22,8,Anthony Vanhook,Free Throw Made,
,,,66-59,2 - 8:22,7,Anthony Vanhook,Free Throw Made,
,,,,2 - 8:15,,Calvin Davis,Defensive Foul,
,,,,2 - 8:15,,Calvin Davis,Left the Game,Demetres Abrams Entered the Game
William Desilien,Free Throw Made,,67-59,2 - 8:15,8,,,
William Desilien,Free Throw Made,,68-59,2 - 8:15,9,,,
,,NW College Defensive Rebound,,2 - 8:02,,Demetres Abrams,Field Goal Attempt,
,,,,2 - 7:48,,Demetres Abrams,Defensive Foul,
,,,,2 - 7:48,,Nate Sims,Left the Game,Cordea Wilson Entered the Game
William Desilien,Free Throw Made,,69-59,2 - 7:48,10,,,
William Desilien,Free Throw Made,,70-59,2 - 7:48,11,,,
,,,70-62,2 - 7:32,8,Demetres Abrams,Three Point Made,
,,,,2 - 7:18,,Travis Barnes,Defensive Foul,
Tyler Chandler,Left the Game,EJ Hubbard Entered the Game,,2 - 7:18,,,,
,,,,2 - 7:18,,Travis Barnes,Left the Game,Aaron Thomas Entered the Game
Christopher Boucher,Free Throw Made,,71-62,2 - 7:18,9,,,
Christopher Boucher,Free Throw Made,,72-62,2 - 7:18,10,,,
,,,,2 - 7:05,,Aaron Thomas,Field Goal Attempt,
Christopher Boucher,Blocked shot,,,2 - 7:03,,,,
,,,,2 - 7:02,,Aaron Thomas,Offensive Rebound,
,,,,2 - 7:00,,Aaron Thomas,Turnover,
William Desilien,Steal,,,2 - 7:00,,,,
William Desilien,Three Point Made,,75-62,2 - 6:55,13,,,
,,,,2 - 6:37,,Anthony Vanhook,Field Goal Attempt,Cape Fear CC Offensive Rebound
Colin May,Defensive Foul,,,2 - 6:37,,,,
,,,75-63,2 - 6:37,12,Aaron Thomas,Free Throw Made,
,,,75-64,2 - 6:37,11,Aaron Thomas,Free Throw Made,
William Desilien,Turnover,,,2 - 6:31,,,,
,,William Desilien Defensive Rebound,,2 - 6:17,,Anthony Vanhook,Field Goal Attempt,
William Desilien,Three Point Attempt,EJ Hubbard Offensive Rebound,,2 - 6:00,,,,
